Mot;Autre forme;Definition;Nature du mot;Francais;Anglais;;
N?? kom? (V);;;Mba?ncob?;Raboter;;;
Nzwi?d (1/6);;;L?n;Race;;;
N??cu??u (1);;;L?n;Rachat;;;
N?? cu?u (V);;;Mba?ncob?;Racheter;;;
Nga (3/6);;;L?n;Racine;;;
Nga?t? (5/4);;;L?n;Racine (arbre);;;
Nga?nk?à (3/6);;;L?n;Racine de raphia;;;
N?? so?? (V);;;Mba?ncob?;Raconter;;;
Nsa?fo?? (V);;;Mba?ncob?;Radio diffusion;;;
Ndà?nsa?fo?? (1/6);;;L?n;Radio (maison de la);;;
Nkw??fo?? (1/6);;;L?n;Radio (re?cepteur);;;
Sa?nta? (adj);;;;Raide;;;
N?? sa?nta? (V);;;Mba?ncob?;Raidir;;;
Mba?tsi (3/4);;;L?n;Raisin;;;
Bu?mf? (5/4);;;L?n;Rame paplers;;;
Cu?wud (1/6);;;L?n;Rac?on;;;
Mba?? (1);;;L?n;Rancune;;;
N?? la? mba?? (V);;;Mba?ncob?;Rancune (garder);;;
Nga? la?mba?? (1/6);;;L?n;Rancunier;;;
Nka (3/6);;;L?n;Rang  ;;;
N?? t? nka (V);;;Mba?ncob?;Ranger;;;
Nk?à (3/6);;;L?n;Raphia;;;
Nk?à lab? (3/6);;;L?n;Raphia du mare?cage;;;
Nk?à t??dben? (3/6);;;L?n;Raphia de haute te?rre;;;
N?? dia? nk?à (3/6);;;L?n;Raphia vigner le;;;
N?? to  nk?à (3/6);;;L?n;Raphia faire le trou;;;
N?? co?nk?à (3/6);;;L?n;Raphia enleve?;;;
N?? kà?g nk?à  (3/6);;;L?n;Raphia laisser au repos;;;
 Tà?fa?? (1/6);;;L?n;patron;;;
Nt??nnk?à;;;L?n;Raphia pied de;;;
N??kwimt? (1/6);;;L?n;Rappel;;;
N?? kwimt? (V);;;Mba?ncob?;Rappeller ;;;
N?? kom? (V);;;Mba?ncob?;Raser ;;;
N?? kom tu (V);;;Mba?ncob?;Raser (te?te);;;
Shua? (5/4);;;L?n;Rasoir (lame);;;
Lisà? (5/4);;;L?n;Rasoir (lame);;;
N??yw?l? (adj);;;;Rassasie?;;;
N?? k?mt? (V);;;Mba?ncob?;Rassembler;;;
N?? ts??t? (V);;;Mba?ncob?;Rassembler;;;
Nsa?m (adj);;;;Rassi;;;
Mbà?bndun (1/6);;;L?n;Rat;;;
Nsame (1/6);;;L?n;Ravin;;;
Nko??ndà (3/6);;;L?n;Rayons;;;
Nko?? (3/6);;;L?n;Rayon (boutique);;;
Ko?nya?m (5/4);;;L?n;Rayon (soleil);;;
Nk? (3/6);;;L?n;Rayons ;;;
Ngata?tu (1/6);;;L?n;Rebelle;;;
Ta?tu (1/6);;;L?n;Rebellion;;;
N?? kwe (V);;;Mba?ncob?;Recevoir ;;;
N?? lo??m??n ng??n (V);;;Mba?ncob?;Recevoir qqn;;;
N?? tat? ng??n (V);;;Mba?ncob?;Recevoir qqn;;;
Co?btu (1/6);;;L?n;Re?cit;;;
Co?btu (1/6);;;L?n;Re?citation;;;
Ju?nts? ;;;L?n;Re?cipient;;;
Cu?n??co?o (6);;;L?n;Re?colte;;;
N?? co?cu (V);;;Mba?ncob?;Re?colter;;;
Nt?hg? (4);;;L?n;Recommandation;;;
N?? tsw???t?? (V);;;Mba?ncob?;Recommander;;;
Nda?? (1/6);;;L?n;Re?compense;;;
Nda??ntum (1/6);;;L?n;Re?compense;;;
Co??fa?? (1/6);;;L?n;Re?compense;;;
N?? fà nda??;;;;Re?compenser;;;
N?? co? fa? (V);;;Mba?ncob?;Re?compenser;;;
Mf?dni (4);;;L?n;Re?concilliation;;;
N?? b? ncu?nc?? (1);;;L?n;Re?concilliation;;;
N? kam ne?yabe (V);;;Mba?ncob?;Re?concilliation;;;
N?? nk??ni? ne?so? (1);;;L?n;Re?concillietion;;;
N?? gho?? mf?dni? (V);;;Mba?ncob?;Re?concilier;;;
N?? so? nk??ni? (V) ;;;Mba?ncob?;Re?concilier;;;
N?? yab kam? (V);;;Mba?ncob?;Re?concilier;;;
N?? lo? nt?? n??n ca?m;;;Mba?ncob?;Re?concilier (se);;;
N?? tsw? ncu?nc?? (V;;;Mba?ncob?;Re?concilier;;;
N??tsiagte (1/6);;;L?n;Rectification;;;
N?? tsiagt? (V);;;Mba?ncob?;Rectifier;;;
N?? lo?? nt?? n??n ca?m;;;L?n;Recueillement;;;
N?? l?dt? (V);;;Mba?ncob?;Recueillir;;;
n??  k?mt? (V);;;Mba?ncob?;Recueillir;;;
N?? b??nnja?mnja?m;;;Mba?ncob?;Reculer;;;
Ne k??t? (V);;;Mba?ncob?;Reculer;;;
N?? b??nt?? tu?ntu?n (V);;;Mba?ncob?;Reculer;;;
Kwa?nki? (1/6);;;L?n;Re?daction;;;
L??nnki? (1/6);;;L?n;Re?daction;;;
N??ki? (1/6);;;L?n;Re?daction;;;
Nga?cu??m??n (1/6);;;L?n;Re?dempteur;;;
Nga?yo?gm??n (1/6);;;L?n;Re?dempteur;;;
Ncu??m??n (1/6);;;L?n;Re?dempteur;;;
N?cu??wud (1);;;L?n;Re?demption;;;
Nga?njo (1/6);;;L?n;Redevable;;;
N??tsiagt? (1/6);;;L?n;Redressement;;;
N?? tsiagt? (V) ;;;Mba?ncob?;Redresser;;;
N?? b?? nt?t? (V);;;Mba?ncob?;Redresser;;;
N? t? nda??nda? (V);;;Mba?ncob?;Redresser;;;
N?? kwa?t?? (V);;;Mba?ncob?;Re?flechir;;;
N??b??n nu?m ko? nu? (1/6;;;L?n;Re?forme;;;
N?? tsiagt? nte d???i ;;;;Re?former;;;
N??b??n nu?m ko?? nu? (V);;;Mba?ncob?;Re?former;;;
N??tsiagte nt? d???i (V);;;Mba?ncob?;Reformer ;;;
N?? nywi?n? (V);;;Mba?ncob?;Refroidir;;;
N?? fi (V);;;Mba?ncob?;Refroidir;;;
n?? gh?? a fi (V);;;Mba?ncob?;Refroidir;;;
N??fi (1/6);;;L?n;Refroidissement;;;
N??nywin? (1/6);;;L?n;Refroidissement;;;
N??gha (1);;;L?n;Refus;;;
N?? gha  (V);;;Mba?ncob?;Refuser;;;
N?? gha (V);;;Mba?ncob?;Refuter;;;
N?? ta nu?;;;Mba?ncob?;Refuter;;;
Ngwa?dlàg (1/6)  ;;;L?n;Regard;;;
N?? l?t? (V);;;Mba?ncob?;Regarder;;;
Tu?mba (3/6);;;L?n;Re?gime (de noix);;;
Nca?k??l?? (5/4);;;L?n;Re?gime de plantain;;;
Nj?m??n (4);;;L?n;Re?gime alimentaire;;;
Ma?d neto?ng?? (1);;;L?n;Re?gime politique;;;
K??bnka (3/6);;;L?n;Re?gle;;;
Ku?zin;;;L?n;Re?gle ;;;
N?? y?n ?w? (1);;;L?n;Re?gle menstrues;;;
Nt??nu? (4);;;L?n;Re?glement;;;
Nc??kum (1/6);;;L?n;Re?glement;;;
Ntsw?ndà (4);;;L?n;Re?glement;;;
N?to? (1);;;L?n;Re?gne;;;
Nu?f??n (5);;;L?n;Re?gne;;;
F??n (5);;;L?n;Re?gne;;;
N?? t?? (V);;;Mba?ncob?;Re?gner;;;
Fem (1);;;L?n;Regret;;;
N?? feme (V);;;Mba?ncob?;Regretter;;;
Nt?? m??n n?? sa?i (V);;;Mba?ncob?;Regretter;;;
Mba?zw?? (3/6);;;L?n;Rein;;;
Zw?? (3/4);;;L?n;Reine;;;
Mà?mf??n (1/6);;;L?n;Reine;;;
N?? kot? (V);;;Mba?ncob?;Rejoindre;;;
Tsia??t?? (1);;;L?n;Re?jouissance;;;
J?à ;;;L?n;Re?jouissance;;;
N?? ba??a (V);;;Mba?ncob?;Rembousser;;;
N?? t?? nkàb (V);;;Mba?ncob?;Rembousser;;;
N?? ba??nja?m (V);;;Mba?ncob?;Reme?de;;;
Fu (5/4);;;L?n;Reme?dier;;;
N?? tsiagt? (V);;;Mba?ncob?;Reme?dier;;;
N?? dia?g fu;;;L?n;Remerciement;;;
Là?bt??;;;;Remercier;;;
N?? là?bncu? (V);;;Mba?ncob?;Remercier;;;
N?? làbt?? (V);;;Mba?ncob?;Remords;;;
Zwent? (1);;;L?n;Remplac?ant ;;;
Kwi?btu (1/6);;;L?n;Remplacement;;;
Ba?t? (1);;;L?n;Remplacement;;;
N??bat?? (1)  ;;;L?n;Remplacer;;;
N?? dune (V);;;Mba?ncob?;Remplir;;;
N?? zwiagt? (V);;;Mba?ncob?;Remplir;;;
Nka?btfa? (1);;;L?n;Remune?ration;;;
N?? t? nkab fa?? (V);;;Mba?ncob?;Remune?rer;;;
Nka??wune (1/6);;;L?n;Renard;;;
N?? ko? jo?? ju (V);;;Mba?ncob?;Renche?rir;;;
N?? kwi??t?? jo? ju (V);;;Mba?ncob?;Renche?rir;;;
N?? ta?njo?? ju (V);;;Mba?ncob?;Renche?rir;;;
Mbu?mt?? (V);;;Mba?ncob?;Renche?rir;;;
N?bu?mt?? (V);;;Mba?ncob?;Rencontre;;;
N?? bu?mt? (V);;;Mba?ncob?;Rencontre;;;
Nka??ni? (4);;;L?n;Rencontrer;;;
N??ka??a (1/6);;;L?n;Rendez-vous;;;
N?? ba??a (V);;;Mba?ncob?;Rendez-vous;;;
N?? gha (V);;;Mba?ncob?;Rendre;;;
N?? gha (V);;;Mba?ncob?;Renier;;;
N??gha ;;;;Renoncer;;;
Tu?nnu? (3/6);;;L?n;Reonciation;;;
N?? so?e (V);;;Mba?ncob?;Renseignement;;;
N?? bedt? (V);;;Mba?ncob?;Renseigner;;;
N??b??nnja?m (1);;;L?n;Renseigner (se);;;
N?? b??nnja?m (V);;;Mba?ncob?;Rentre?e;;;
N? f? (V);;;Mba?ncob?;Rentrer;;;
N?? s?? (1);;;L?n;Rentrer;;;
N?? ta?a (1);;;L?n;Renvoi;;;
N?? ta?a (V);;;Mba?ncob?;Renvoi;;;
Nga?b (1/6);;;L?n;Renvoyer;;;
N?? sa? (V);;;Mba?ncob?;Repaire;;;
N?? f??dt?? (V);;;Mba?ncob?;Re?pandre;;;
N?? na?? (V);;;Mba?ncob?;Re?pandre ;;;
N?? ka??nt?;;;L?n;Re?pentance;;;
N?? ka??nt? (V);;;Mba?ncob?;Re?pentir;;;
N?? b??nt?? (V);;;Mba?ncob?;Re?pondre;;;
Mb??nt??nu? (3/6);;;L?n;Re?ponse;;;
Mb??nt??ncobe (4);;;L?n;Re?ponse;;;
Fit?? (1/6);;;L?n;Re?pos;;;
N?? fit? (V);;;Mba?ncob?;Reposer (se);;;
Cobt?? ;;;L?n;Reprimande ;;;
N?? cobt? (V);;;Mba?ncob?;Reprimander;;;
N??s?? (V);;;Mba?ncob?;Re?putation;;;
N??ta?a (1);;;L?n;Re?putation;;;
N?? s?? (1);;;L?n;Re?pudier;;;
N?? ta?a (1);;;L?n;Re?pudier;;;
N?? le??d?  (1);;;L?n;Re?servation;;;
N??  le?e (V);;;Mba?ncob?;Re?server;;;
Ne ta? ng?? (V);;;Mba?ncob?;Re?sister;;;
N?? ta? tu (V);;;Mba?ncob?;Re?sister;;;
Zwia?g (5);;;L?n;Respirer;;;
N?? zwia?ge (V);;;Mba?ncob?;Respiration;;;
Mbi??nu? (3/6);;;L?n;Responsabilite?;;;
Nga?nu? (1/6);;;L?n;Responsable;;;
Tu (adj);;;;Responsable;;;
Nga?l?t?? (1/6);;;L?n;Responsable;;;
N?? gho?m wud (V);;;Mba?ncob?;Ressaisir (se);;;
Mfuni (4);;;L?n;Ressemblance;;;
L??n (3);;;L?n;Ressamblace;;;
N?? fu (V);;;Mba?ncob?;Ressembler;;;
N?? fut? (V);;;Mba?ncob?;Ressembler;;;
N?? ba?m nu?m v? (V);;;Mba?ncob?;Ressusciter;;;
N?? ba?me (V);;;Mba?ncob?;Ressusciter;;;
Ce?e (3/6);;;L?n;Reste;;;
Mbw??? (1/6);;;L?n;Reste;;;
N?? bw???e (V);;;Mba?ncob?;Rester;;;
N?? gh? (V);;;Mba?ncob?;Rester;;;
N?? tswe (V);;;Mba?ncob?;Rester;;;
N?? t??? (V);;;Mba?ncob?;Rester ;;;
N??lo? nu?m v? (1/6);;;L?n;Re?surection;;;
N??s?ne (1/6);;;L?n;Retard;;;
Nga?s?n (1/6);;;L?n;Retardataire;;;
N?? là?t??;;;Mba?ncob?;Retarder;;;
N?? c?be (V);;;Mba?ncob?;Retenir;;;
N?? s?? (V);;;Mba?ncob?;Retirer;;;
N?? lo??o (V);;;Mba?ncob?;Prendre;;;
N??f? (1/6);;;L?n;Retour;;;
N??b??n? (1/6);;;L?n;Retour ;;;
N??ka??? (1/6);;;L?n;Retournement;;;
N??b??n? (1/6);;;L?n;Retournement ;;;
N?? f? (V);;;Mba?ncob?;Retourner;;;
N?? ka??? (V);;;Mba?ncob?;Retourner;;;
N?? b??n? (V);;;Mba?ncob?;Retourner;;;
N?? fel? (V);;;Mba?ncob?;Retre?cir;;;
N?? meme (V);;;Mba?ncob?;Retrecir ;;;
N?? fà nda?? (V);;;Mba?ncob?;Retribuer;;;
Nco??fa?? (1/4);;;L?n;Retribution;;;
Nda?? (1/6);;;L?n;Retribution ;;;
Kum (5/4);;;L?n;Re?union;;;
Mbu?nt?? (1/6);;;L?n;Re?union;;;
Nts??t?? (1/6);;;L?n;Re?union ;;;
N?? ta?mt?? (V);;;Mba?ncob?;Re?unir;;;
N?? ts??t? (V);;;Mba?ncob?;Re?unir ;;;
N?? nc?à? (V);;;Mba?ncob?;Re?ussir ;;;
Nje?m (3/6);;;L?n;Re?ve;;;
Zwi?d ju k??bw??;;;;Re?ve?lation;;;
N??la??t??(1);;;L?n;Re?ve?ler;;;
N?? la??t?? (V);;;Mba?ncob?;Re?ve?ler;;;
N?? tswi?t?? wud (V);;;Mba?ncob?;Re?veil;;;
Nya?m (1/6);;;L?n;Re?veiller (se);;;
N?? bam? (V);;;Mba?ncob?;Re?ver;;;
N?? zi nje?m (V);;;Mba?ncob?;Re?ver;;;
N?? yen nje?m (V);;;Mba?ncob?;Re?verie;;;
Nje?m (1/6);;;L?n;Revers (e?chec);;;
Bi (1/6);;;L?n;Revers (habits);;;
Njamnzw? (1/6);;;L?n;Revers (main);;;
Nja?mbu (1/4);;;L?n;Revers (main);;;
Mv??nbu (1/4);;;L?n;Re?viser;;;
N?? bwogt? (V);;;Mba?ncob?;Re?vision;;;
N??bwogt? (1);;;L?n;Re?volte;;;
Ta?tu (3);;;L?n;Re?volte;;;
Cu??t?? (4);;;L?n;Re?volter;;;
N?? kà?g nca? (V);;;Mba?ncob?;Re?volter;;;
N? tam mv??d (V);;;Mba?ncob?;Re?volter;;;
N?? ka?m nta?nta? (V);;;Mba?ncob?;Re?volter (se);;;
N?? tem mv??d (V);;;Mba?ncob?;Re?volter (se);;;
Nta?nta? (1/6);;;L?n;Re?volution ;;;
N??gha (1/6);;;L?n;Re?volution ;;;
N??tammv??d (1/6);;;L?n;Re?volution;;;
Nga?nta?nta? (1/6);;;L?n;Re?volutionnaire;;;
Nga?cu??tu (1/6);;;L?n;Re?volutionnaire;;;
Nga?tammv??d (1/6);;;L?n;Re?volutionnaire;;;
Ng??nyà?m nts?;;;L?n;Rhinoce?roce;;;
M?à?w? (1);;;L?n;Rhume;;;
Nga?nkàb (1/6);;;L?n;Riche;;;
Cu?dnk?àb (6);;;L?n;Richesse;;;
?u?t?s? (;;;L?n;Ride;;;
Nzw??nz??ndà (1/6);;;L?n;Rideau;;;
C??dndà (5/4);;;L?n;Rideau;;;
Nzw??t?ndà (5/4);;;L?n;Rideau;;;
N?? ?u?t? (V);;;Mba?ncob?;Rider;;;
Bà?nbàn (adj);;;;Rein;;;
Sà?mju (pron);;;;Rein;;;
Nga?zwi? (1/6);;;L?n;Rieur;;;
N?? zwi? (V);;;Mba?ncob?;Rire;;;
Zwi? (5/4);;;L?n;Rire d?un condamner;;;
N?? siag nu? (V);;;Mba?ncob?;Rire d?un condamner;;;
N?? siag m??n (V);;;Mba?ncob?;Rivage;;;
Nka?nts? (1/6);;;L?n;Rival;;;
Nga?ma?nd?? (1/6);;;L?n;Rival;;;
Nga?sa?mba? (1/6);;;L?n;Rivaliser;;;
N?? ba?b nd?? (V);;;Mba?ncob?;Rivaliser;;;
N?? ma? nd?u? (V);;;Mba?ncob?;Rivaliser;;;
N?? ma?? (V);;;Mba?ncob?;Rivaliser;;;
N?? sa? mba?? (V);;;Mba?ncob?;Rivaliser ;;;
N?? sab nd?? (V);;;Mba?ncob?;Rivaliser qqn;;;
Ma? (1);;;L?n;Rivalite?;;;
Ma?t?? (1/6);;;L?n;Rivalite?;;;
Mba?? (1);;;L?n;Rivalite?;;;
Nd?? (!);;;L?n;Rivalite?;;;
Nta?nta? (1/6);;;L?n;Rivalite?;;;
Nka?nts? (1/6);;;L?n;Rive;;;
Ta?nts? (3/6);;;L?n;Rivie?re;;;
Nku?nme?kale (3/6);;;L?n;Riz;;;
Nà?nku?nme?kale (3/6);;;L?n;Rizie?re;;;
Ce?mnts? (5/4);;;L?n;Robinet;;;
Mba?zwe? (3/6);;;L?n;Rognon;;;
Mf??n (1/6);;;L?n;Roi;;;
N?? k?be (V);;;Mba?ncob?;Rompre;;;
N?? s?? wud (V);;;Mba?ncob?;Rompre (avec);;;
N?? b??t? (V);;;Mba?ncob?;Rompre (pain);;;
Ne?so?? (3/6);;;L?n;Roseau ;;;
Nka??n??so? (3/6);;;L?n;Roseau;;;
"Ba?; me?ba (adj)";;;;Rouge;;;
N?? ba? (V);;;Mba?ncob?;Rougir;;;
N?? ka?? nc?? mi (V);;;Mba?ncob?;Rougir (cole?re);;;
Banng?a ;;;L?n;Rouille;;;
K?a?f? ;;;L?n;Rouille;;;
N?? c?b banng?a (V);;;Mba?ncob?;Rouiller;;;
N?? bwo?t? (V);;;Mba?ncob?;Rouler;;;
N?? ya?? (V);;;Mba?ncob?;Rouler;;;
N?? ya?t? (V);;;Mba?ncob?;Roule plusieur foi;;;
N?? bwo?? (V);;;Mba?ncob?;Rouler qqch;;;
N?? bwo?? (V);;;Mba?ncob?;Rouler qqn;;;
Mà?nz?? (1/6);;;L?n;Route;;;
Nz?? (1/6);;;L?n;Route;;;
Zi?nf??n (5/4);;;L?n;Royal de?marche;;;
Ng??f??n (4);;;L?n;Royal fac?on;;;
Ng??mf??n (1/6);;;L?n;Royaume;;;
Nu?f??n (5/4);;;L?n;Royaute?;;;
N?ca??nt? ;;;L?n;Ruisseau;;;
Fin (s?) (5);;;L?n;Rumeur;;;
Mf? (4);;;L?n;Ruse;;;
Nk??nk? (1/6);;;L?n;Ruse;;;
M??nmf? (1/6);;;L?n;Ruse?;;;
Nga?nk??nk? (1/6);;;L?n;Ruse?;;;
;;;;;;;
Bà?m 3/6);;;L?n;Sac;;;
N??yo?o (1/6);;;L?n;Sacre;;;
N?? yo?o (V);;;Mba?ncob?;Sacrer;;;
Nga?kange? (1/6);;;L?n;Sadique;;;
Nga?yabng?? (1/6);;;L?n;Sadique;;;
Nja?bnge? (1/6);;;L?n;Sadique;;;
Nku?mm??n (1/6);;;L?n;Sage;;;
Nz??nu? (1/6);;;L?n;Sage;;;
Z??nu? (3/6) ;;;L?n;Sagesse;;;
K??mb??n (adj);;;;Sain ;;;
K???u?u (adj);;;;Sain ;;;
K??gho?n (adj);;;;Sain;;;
M??nnelàn? (1/6);;;L?n;Saint;;;
Yw?n?làne (1/6);;;L?n;Saint-esprit;;;
Làn (1);;;L?n;Saintete?;;;
Ne?làn? (1);;;L?n;Saintete?;;;
Ng??l?? (1/6);;;L?n;Saison;;;
Nd? (1/6);;;L?n;Saison;;;
Nd??sàn? (1/6);;;L?n;Saison de pluie;;;
Nd??du?m (1/6);;;L?n;Saison se?che;;;
Nkà?fbfa?? (1/6);;;L?n;Salaire;;;
Nco??fa?? (5/4);;;L?n;Salaire;;;
Nga?lo??nkà?b?w? (1/6;;;L?n;Salarie?;;;
Ntsi (4);;;L?n;Salive;;;
Ntsi n?? s??? ncu? (V);;;Mba?ncob?;Saliver;;;
Ndà (1/6);;;L?n;Salle;;;
To??ndà (1/6);;;L?n;Salle;;;
Ndà?dia?y?n (1/6);;;L?n;Salle de cine?ma;;;
To??ju?j? (1/4);;;L?n;Salle a? manger;;;
Ndà?nsà (1/6);;;L?n;Salle cabalistique;;;
Ndà?nk??n (1/6);;;L?n;Salle d?annonce;;;
Ndà?beb (1/6);;;L?n;Salle d?attente;;;
Ndà?nca? (1/6);;;L?n;Salle d?audience;;;
F??? nts? (5/4) ;;;L?n;Salle d?eau ;;;
Ndà?nto (1/6);;;L?n;Salle d?injections;;;
Ndà?nu?bàhà (1/6);;;L?n;Salle d?urgence;;;
Fe??nts? (1/6);;;L?n;Salle de bain;;;
F???so?gwud (1/6);;;L?n;Salle de bain;;;
Ndà??wa??ni? (1/6);;;L?n;Salle de classe;;;
Ndà?ki (1/6);;;L?n;Salle de dactylographie;;;
Ndà?mfa?? (1/6);;;L?n;Salle de pansement;;;
Ndà?fi? (1/6);;;L?n;Salle de pese?e;;;
Ndà?màbw? (1/6);;;L?n;Salle des nouveaux-ne?s;;;
N?? ca??t? (V);;;Mba?ncob?;Saluer;;;
N?? b? m??n (V);;;Mba?ncob?;Saluer;;;
Ca??t?? (1/6);;;L?n;Salut;;;
Yo?g (5);;;L?n;Salut;;;
Ca??t? (1/6);;;L?n;Salutation;;;
L?m (5);;;L?n;Sang;;;
Ng??nyàmcw?d (1/6);;;L?n;Sanglier;;;
Nka?mnku? (1/6);;;L?n;Sanglier;;;
K??sh?? (1);;;L?n;Sanglot;;;
N?? tam k??sh?? (V);;;Mba?ncob?;Sangloter;;;
Nga?f??dt?? l?m (1/6);;;L?n;Sanguinaire;;;
Nts??t? gha?nco?t?? nca?;;;L?n;Sanhe?drin ;;;
K?? (pre?p);;;;Sans;;;
K??ndà (1/6);;;L?n;Sans abri;;;
K??ju?nz?? (adv);;;;Sans discernement;;;
Nya? (1/6);;;L?n;Sauce;;;
Sog? (5);;;L?n;Sauce;;;
K??ca?d (1/6);;;L?n;Saut;;;
N?? la? n??n t? (V);;;Mba?ncob?;Sauter;;;
N?? co?k??ca?d (V);;;Mba?ncob?;Sauter;;;
N?? yw?l? (V);;;Mba?ncob?;Sauter;;;
Ngamntàn (1/6);;;L?n;Sauterelle ;;;
Nga?co? k??ca?b (1/6)  ;;;L?n;Sauteur ;;;
N?? yo?g? (V);;;Mba?ncob?;Sauver  ;;;
Nga?yo?g (1/6);;;L?n;Sauveur;;;
Z?m?t? (1/6);;;L?n;Savant;;;
Nd??mju (4);;;L?n;Saveur;;;
N?? l??n? (V);;;Mba?ncob?;Savoir;;;
So?g (1/6);;;L?n;Savon;;;
So?gnzw? (1/6);;;L?n;Savon a? linge;;;
So?gwud (1/6);;;L?n;Savon de toillette;;;
K?l??? (3/4);;;L?n;Scandale;;;
Lo??fa?t?? (5/4);;;L?n;Scandale;;;
Nu?k??bw?? (1/6);;;L?n;Scandale;;;
Ywi? (5/4);;;L?n;Scandale;;;
Mà?kwa (1/6);;;L?n;Sceau;;;
Sitàm (1/6);;;L?n;Sceau;;;
N?? f??n? (V);;;Mba?ncob?;Sceller;;;
N?? t? sitàm (V);;;Mba?ncob?;Sceller;;;
D??? dia?? (3/4);;;L?n;Sce?ne;;;
Dia?? (3/4);;;L?n;Sce?ne spectacle;;;
Dia?ma?? (3/4);;;L?n;Sce?ne de tire;;;
Dia?j? (3/4);;;L?n;Sce?ne gastronomique;;;
Kogf??n (5/4);;;L?n;Sceptre;;;
S? (5/4);;;L?n;Scie;;;
Ngàm? (1/6);;;L?n;Science;;;
N?? ziàg? (V);;;L?n;Scintiller;;;
N?nya?cum (1/6);;;L?n;Scorpion;;;
N?? kom? (V);;;Mba?ncob?;Sculpter;;;
N?? v?n? (V);;;Mba?ncob?;D‚ssiner;;;
N?to (1/6);;;;Sculpture;;;
Jum (adj);;;;Sec;;;
N?? yag? (V);;;Mba?ncob?;Se?cher;;;
N?? jum? (V);;;Mba?ncob?;Se?cher;;;
Du?m (1/6);;;L?n;Se?cheresse;;;
N?? nyi??t?? (V);;;Mba?ncob?;Secouer;;;
N?? ywi?mt?? (V);;;Mba?ncob?;Secourir;;;
Ywi?nt?? (1/6);;;L?n;Secours;;;
Ca?m (5/4)  ;;;L?n;Secret;;;
Nja?m ca?m (adv);;;;Secret (en);;;
Nde??ca?m (1/6);;;L?n;Secre?taire;;;
Nga?kit?? (1/6);;;L?n;Secre?taire;;;
Ndà?ca?m (3/6);;;L?n;Secre?tariat;;;
Ndà?ki? (3/6);;;L?n;Secre?tariat;;;
Nja?m ca?m (adv);;;;Secre?tement;;;
Gha?fagt?? (6);;;L?n;Sectaires;;;
Fa?gt? ;;;L?n;Secte;;;
Nga?cu??tu? (1/6);;;L?n;Se?ducteur;;;
Cu??tu;;;;Se?duction;;;
N?? kwabt? m??n (V);;;Mba?ncob?;Se?duire;;;
N?? cu?? tu (V);;;Mba?ncob?;Se?duire;;;
B?n;;;L?n;Sein;;;
T??mba?m (pre?p);;;;Sein dans le ventre;;;
Nt??m ;;;;Sein dans,parmi;;;
Ngwa (4);;;L?n;Sel;;;
Nda??nda? (pre?p);;;;Selon;;;
Ngà?bnj? (1/6);;;L?n;Semaine;;;
Ngà?bnju dia?ntsi?i ;;;;Semaine culturelle;;;
Mfuni? (4);;;L?n;Semblable;;;
Nzwid (1/6);;;L?n;Semence;;;
N?? ywil? (V);;;Mba?ncob?;Semer;;;
Nga?ma??nsa (1/6);;;L?n;Semeur;;;
Nga?ywi?d (1/6);;;L?n;Semeur;;;
N?? ghu? l?m ;;;L?n;Sentiment;;;
Nts?;;;L?n;Sentiment;;;
N?? la?mt?? (V);;;Mba?ncob?;Sentir bon;;;
N?? la?m? (V);;;Mba?ncob?;Sentir mauvais;;;
Fa?gt?? (14);;;L?n;Se?paration;;;
N?? fa?gt?? (V);;;Mba?ncob?;Se?parer;;;
Sà?mmbàhà (adj);;;;Sept;;;
Mbatt?? sà?mmbàhà;;;L?n;Septie?me;;;
Fi? (5/4);;;L?n;Se?pulcre;;;
Tu?fi? (5/4);;;L?n;Se?pulcre;;;
Mf? (1/6);;;L?n;Serment;;;
N?? ka?nmf? (V);;;Mba?ncob?;Serment pre?ter;;;
Nyu (1/6);;;L?n;Serpent ;;;
N?? fa?a (V);;;Mba?ncob?;Servir;;;
M?nk?? (1/6);;;L?n;Serviteur;;;
Nga?fa? (1/6);;;L?n;Serviteur;;;
Nk?? (4);;;L?n;Seuil;;;
T??? (adj);;;;Seuil;;;
T??m? (adj);;;;Seul moi;;;
?à (4);;;L?n;Se?ve;;;
Nga?c?ag (1/6);;;L?n;Seve?re (qqn);;;
N??c?ag (1/6);;;L?n;Se?ve?re;;;
C?ag (adj);;;;Se?ve?rite?;;;
Ngu??nk?;;;L?n;Sie?cle;;;
Ngu??ngu? ;;;L?n;Sie?cle;;;
Ko?? (5/4);;;L?n;Sie?ge;;;
Ntsha? mbu?mt??;;;L?n;Sie?ge association;;;
Ntsha? d??fa?? (5/4);;;L?n;Sie?ge entreprise;;;
Ka?mnko?? (1/6);;;L?n;Sie?ge en bois;;;
Fin (5/4);;;L?n;Sifflement;;;
N? t? (V);;;Mba?ncob?;Siffler;;;
N?? t? fin (V);;;Mba?ncob?;Siffler;;;
N?? t? fin (V);;;Mba?ncob?;Siffler;;;
Nd? (1/6);;;L?n;Sifflet;;;
Nga??o?tu?n (1/6);;;L?n;Signataire;;;
Nga?shan (1/6);;;L?n;Signataire;;;
K??ki? (5/4);;;L?n;Signe;;;
L???n (3);;;L?n;Signe;;;
N?? ?u?tu?n (V);;;Mba?ncob?;Signer;;;
Mbagt?? ;;;L?n;Signification;;;
Tu?n;;;L?n;Signification;;;
N?? ba?gt?? (V);;;Mba?ncob?;Signifier;;;
