Mot;Autre forme;Definition;Nature du mot;Francais;Anglais;;
Wa (3/6);;;L?n;Marche? (espace );;;
Wa?nzw? (1/6);;;L?n;Marche? de tissu;;;
Ka?mnko?? (1/6);Nka?mko?';;L?n;Marchepied;;;
N?? zi?n(?) (V);Nzi?n(?);;Mba?ncob?;Marcher;;;
Ta?mnts? (1/4);Nta?mnts?;;L?n;Mare d?eau;;;
Ndu (1/6);Du;;L?n;Mari;;;
Na?ndà (3/6);;;L?n;Mariage;;;
Nzwigh??n (1/6);zwigh??n;;L?n;Marie? (nouvelle);;;
N?? nandà (V);Nandà;;Mba?ncob?;Marier (se);;;
N?? so? m??nnzwi (V);Nso? m??nnzwi;;Mba?ncob?;Marier (se);;;
Mba (1/6);;;L?n;Marmite;;;
K?ki? (1/6);Nk??ki;;L?n;Marque;;;
L??n (3);Nd??n;;L?n;Marque;;;
N?? ki??i (V);Nki?'i;;Mba?ncob?;Marquer ;;;
Mà? (kwi?ntse) (1/6) ;;;L?n;Marraine (de bap;;;
Zwi?d (5/4);;;L?n;Massue;;;
L??kun? (1/6);;;L?n;Matelas;;;
Ndà?bw? (1/6);;;L?n;Maternite?;;;
Ndà? màbw? (1/6);;;L?n;Maternite?;;;
N?? b? ndà?bw? (V);Mb? ndà?bw?;;Mba?ncob?;Maternite? ( e?tre en);;;
Nk??bnj? (1/6);;;L?n;Matin;;;
Mfognj? (1/6);;;L?n;Matin;;;
N?? na?ndon (V);;;Mba?ncob?;Maudire;;;
N?? so? ndon (V);;;Mba?ncob?;Maudire;;;
Nga?ndon (1/6);;;L?n;Maudit (e);;;
C?agk??dnt? (1/6);;;L?n;Me?chancete?;;;
M??nk??bw?? (1/6);;;L?n;Me?chant;;;
Nga?bàg (1/6);Gha?bàg;;L?n;Me?chant;;;
Nga?yabnge? (1/6);Gha?yabnge?;;L?n;Me?chant;;;
C?agk?dnt?m??n (1/6;;;L?n;Me?chant;;;
C?agnt?m??n (adj);;;;Me?chant;;;
N??bil??n (adj) ;;;;Me?connaissable;;;
N?? s?l? (adj);;;;Me?connai?tre;;;
C?à?gt?? wud (1);;;L?n;Me?contentement;;;
Nd??ngho?n (1/6);;;L?n;Me?decin;;;
Ncwimgho?n (1/6);;;L?n;Me?decin;;;
Nga?nz?? (1/6);;;L?n;Me?diateur;;;
Fu (5/4);;;L?n;Me?dicament;;;
N?? co? (ku?d m??n (V);;;Mba?ncob?;Me?dire;;;
N??co? ku?d m??n (1);;;L?n;Me?disance;;;
N??l??t? (1);;;L?n;Me?fiance;;;
N??bàm? (1);;;L?n;Me?fiance;;;
Z?t?? (1);;;L?n;Me?fiance;;;
